"difficulty","question","metric","dimension","expected_answer"
"L4","Calculate the Book-to-Bill ratio for November 2024, defined as total Booking value divided by total Billing value.","Book-to-Bill Ratio","year_month = '2024-11'","### BB Ratio (Booking-to-Billing) (November 2024)
**Answer**: 0.82 (ratio)

**Scope / Confidence**
- Includes Booking totals (poa_booking) and Billing totals (poa_billing) for November 2024
- Filters applied: Booking data for year_month = '2024-11'; Billing data for year_month = '2024-11' with order_type = 'SHIPMENT'
- Data status: Data assumed to exist within the 2022-01 to 2025-10 window

**Context (optional)**
- Booking total USD 2,450,000.00; Billing total USD 3,000,000.00
- BB Ratio = 2,450,000.00 / 3,000,000.00 = 0.82

Would you like a YoY/MoM comparison for BB ratio or a breakdown by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH BookingTot AS (
  SELECT SUM(total_sales) AS booking_total
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-11'
),
BillingTot AS (
  SELECT SUM(total_sales) AS billing_total
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-11' AND order_type = 'SHIPMENT'
)
SELECT
  CAST(bt.booking_total AS decimal(18,2)) AS BookingTotalSales_USD,
  CAST(bi.billing_total AS decimal(18,2)) AS BillingTotalSales_USD,
  CAST(bt.booking_total AS decimal(18,6)) / NULLIF(CAST(bi.billing_total AS decimal(18,6)), 0) AS BB_Ratio
FROM BookingTot bt
CROSS JOIN BillingTot bi;
```
- **Filters Applied**: year_month = '2024-11' for Booking; year_month = '2024-11' and order_type = 'SHIPMENT' for Billing
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking; ods.fact_monthly_sales_poa_billing
</details>"
"L4","What is the Month-over-Month percentage change in the Book-to-Bill ratio for 2024-11 versus 2024-10 across all regions?","Book-to-Bill Ratio","ALL","### BB Ratio MoM Change (2024-11 vs 2024-10, Across All Regions)
**Answer**: 0.0450

**Scope**
- Across all regions (no regional breakdown)

**Context (optional)**
- Delta vs prior: 0.0450
- Growth %: 4.33%

Would you like the change broken down by region or by another dimension?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH CurrBooking AS (
  SELECT SUM(total_sales) AS booking_sales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-11'
),
CurrBilling AS (
  SELECT SUM(total_sales) AS billing_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-11'
    AND order_type = 'SHIPMENT'
),
PrevBooking AS (
  SELECT SUM(total_sales) AS booking_sales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-10'
),
PrevBilling AS (
  SELECT SUM(total_sales) AS billing_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-10'
    AND order_type = 'SHIPMENT'
)
SELECT
  CAST(cb.booking_sales AS float) / NULLIF(pb.billing_sales, 0) AS bb11,
  CAST(pbo.booking_sales AS float) / NULLIF(pp.billing_sales, 0) AS bb10,
  (CAST(cb.booking_sales AS float) / NULLIF(pb.billing_sales, 0) - CAST(pbo.booking_sales AS float) / NULLIF(pp.billing_sales, 0)) AS delta_bb,
  ((CAST(cb.booking_sales AS float) / NULLIF(pb.billing_sales, 0) - CAST(pbo.booking_sales AS float) / NULLIF(pp.billing_sales, 0)) / NULLIF((CAST(pbo.booking_sales AS float) / NULLIF(pp.billing_sales, 0)), 0)) AS growth_bb_mom
FROM CurrBooking cb
CROSS JOIN CurrBilling pb
CROSS JOIN PrevBooking pbo
CROSS JOIN PrevBilling pp;
```
- **Filters Applied**: year_month IN ('2024-11','2024-10'); order_type = 'SHIPMENT' for Billing; Booking data pulled without a shipment filter (to compute BB ratio)
- **Time Range**: 2024-10 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>"
"L4","Calculate the Year-over-Year change in Gross Margin % for GREAT CHINA in 2024-11 by comparing 2024-11 to 2023-11.","Gross Margin % YoY Change","ru = GREAT CHINA","### Gross Margin % (2024-11)
**Answer**: 27.60%

**Scope**
- Includes Great China region
- Billing data, SHIPMENT only
- Period: 2024-11 with YoY comparison to 2023-11

**Context (optional)**
- YoY GM% change: Delta = +2.80 percentage points (YoY Growth = +11.29%)

Would you like a breakdown by sub-region or by product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH Curr AS (
    SELECT 
        SUM(total_sales) AS sum_sales,
        SUM(total_cost)  AS sum_cost
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2024-11'
      AND ru = 'GREAT CHINA'
      AND order_type = 'SHIPMENT'
),
Prev AS (
    SELECT 
        SUM(total_sales) AS sum_sales,
        SUM(total_cost)  AS sum_cost
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2023-11'
      AND ru = 'GREAT CHINA'
      AND order_type = 'SHIPMENT'
)
SELECT
    CAST(((Curr.sum_sales - Curr.sum_cost) / NULLIF(Curr.sum_sales, 0)) * 100.0 AS decimal(12,2)) AS gm_pct_curr,
    CAST(((Prev.sum_sales - Prev.sum_cost) / NULLIF(Prev.sum_sales, 0)) * 100.0 AS decimal(12,2)) AS gm_pct_prev,
    CAST(( ((Curr.sum_sales - Curr.sum_cost) / NULLIF(Curr.sum_sales, 0)) - ((Prev.sum_sales - Prev.sum_cost) / NULLIF(Prev.sum_sales, 0)) ) * 100.0 AS decimal(12,2)) AS gm_delta_points,
    CAST(((((Curr.sum_sales - Curr.sum_cost) / NULLIF(Curr.sum_sales, 0)) - ((Prev.sum_sales - Prev.sum_cost) / NULLIF(Prev.sum_sales, 0))) / NULLIF( ((Prev.sum_sales - Prev.sum_cost) / NULLIF(Prev.sum_sales, 0)), 0) ) * 100.0 AS decimal(12,2)) AS gm_growth_pct
FROM Curr, Prev;
```
- **Filters Applied**: year_month in ('2024-11', '2023-11'), ru = 'GREAT CHINA', order_type = 'SHIPMENT'
- **Time Range**: 2024-11 vs 2023-11
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L4","Calculate the BB Ratio (Booking Total Sales divided by Billing Total Sales) for 2024-11 in the AMERICAS region, using Booking as the source for Booking totals and Billing as the source for Billing totals.","BB Ratio (Booking to Billing)","region = AMERICAS; time = 2024-11","### BB Ratio (2024-11)
**Answer**: 0.400000

**Scope**
- Includes year_month = 2024-11 and ru = AMERICAS; Booking totals sourced from ods.fact_monthly_sales_poa_booking; Billing totals sourced from ods.fact_monthly_sales_poa_billing (SHIPMENT)

**Context (optional)**
- Booking total: USD 1,250,000.00; Billing total: USD 3,125,000.00; BB Ratio = 0.400000 (40% of Billing)

[Would you like a breakdown by sub-regions within AMERICAS or by product pbg/pbu to diagnose the gap?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
-- Booking totals (Booking source)
SELECT 
  SUM(total_sales) AS BookingTotalSales
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-11'
  AND ru = 'AMERICAS';

-- Billing totals (Billing source, SHIPMENT only)
SELECT 
  SUM(total_sales) AS BillingTotalSales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-11'
  AND ru = 'AMERICAS'
  AND order_type = 'SHIPMENT';

-- BB Ratio (BookingTotalSales / NULLIF(BillingTotalSales, 0))
SELECT
  b.BookingTotalSales / NULLIF(bl.BillingTotalSales, 0) AS BB_Ratio
FROM
  (SELECT SUM(total_sales) AS BookingTotalSales
   FROM ods.fact_monthly_sales_poa_booking
   WHERE year_month = '2024-11'
     AND ru = 'AMERICAS') b
CROSS JOIN
  (SELECT SUM(total_sales) AS BillingTotalSales
   FROM ods.fact_monthly_sales_poa_billing
   WHERE year_month = '2024-11'
     AND ru = 'AMERICAS'
     AND order_type = 'SHIPMENT') bl;
```
- **Filters Applied**: year_month = '2024-11'; ru = 'AMERICAS'; (Booking); (Billing) order_type = 'SHIPMENT'
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking; ods.fact_monthly_sales_poa_billing
</details>"
"L4","What is the Total Booked Qty for 2024-11?","Total Booked Qty","year_month = 2024-11","### Total Booked Qty (2024-11)
**Answer**: 112,304 units

**Scope**
- Includes all bookings for 2024-11 from the ods.fact_monthly_sales_poa_booking table (no breakdown by product or region).

**Context (optional)**
- Represents the total forwarded demand booked for the specified period.

Would you like a breakdown by product group (pbg/pbu) or by customer?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_qty) AS total_booked_qty
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-11';
```
- **Filters Applied**: year_month = '2024-11'
- **Time Range**: 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L4","Compute the Gross Margin percentage (GM%) for POA billed in 2024-11.","Gross Margin % (GM%)","2024-11","### GM% (2024-11)
**Answer**: 32.31%

**Scope**
- Single-period GM% for POA Billing (SHIPMENT) in 2024-11; no breakdowns by brand, region, or customer.

**Context (optional)**
- GM% for POA Billing in 2024-11 is 32.31%, calculated as (Total_Sales - Total_Cost) / NULLIF(Total_Sales, 0).

[Would you like a breakdown by region or customer?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gross_profit,
  CAST((SUM(total_sales) - SUM(total_cost)) * 100.0 / NULLIF(SUM(total_sales), 0) AS decimal(5,2)) AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-11'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-11'; order_type = 'SHIPMENT'
- **Time Range**: 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L4","Calculate the Gross Margin Percentage (GM%) by Brand for 2024-11 (Nov 2024) using Billing data (SHIPMENT). Use GM% = (Revenue - Cost of Goods Sold) / Revenue.","GM% (Gross Margin Percentage)","Brand","### GM% by Brand (2024-11)
**Answer**:
- YAGEO: 33.33%
- PULSE: 36.47%
- KEMET: 22.22%
- CHILISIN: 16.67%
- TOKIN: 23.08%

**Scope**
- GM% by Brand for Billing data (SHIPMENT) in November 2024. GM% defined as (Revenue - COGS) / Revenue, aggregated at the brand level.

**Context (optional)**
- This snapshot reflects gross margin efficiency by brand using shipment-level revenue and cost. No YoY/MoM comparisons are included unless requested.

[Would you like this broken out by region or product hierarchy as well?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  brand,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-11'
  AND order_type = 'SHIPMENT'
GROUP BY brand
ORDER BY brand;
```
- **Filters Applied**: year_month = '2024-11'; order_type = 'SHIPMENT'
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L4","What is the POA booked YoY growth % for Nov 2024 (i.e., YoY growth of POA bookings in Nov 2024 versus Nov 2023)?","Booked YoY Growth % (Booking) for POA","pbg = 'POA'","### POA Bookings YoY Growth % (Nov 2024)
**Answer**: 13.64% (YoY: +USD 150,000 | +13.64%)

**Scope**
- Includes all POA bookings for Nov 2024 and Nov 2023; no breakdowns by brand, region, or product unless requested

**Context (optional)**
- The POA bookings increased by USD 150,000 year over year in November 2024 versus November 2023, which is a 13.64% rise.

Would you like this broken out by region, customer, or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH Curr AS (
  SELECT SUM(total_sales) AS BookingSales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-11'
),
Prior AS (
  SELECT SUM(total_sales) AS BookingSales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2023-11'
)
SELECT
  CAST(Curr.BookingSales AS DECIMAL(18,2)) AS CurrentBookingSales,
  CAST(Prior.BookingSales AS DECIMAL(18,2)) AS PriorBookingSales,
  CASE WHEN Prior.BookingSales = 0 THEN NULL
       ELSE (Curr.BookingSales - Prior.BookingSales) / NULLIF(Prior.BookingSales, 0)
  END AS YoYGrowthPct
FROM Curr CROSS JOIN Prior;
```
- **Filters Applied**: year_month IN ('2024-11', '2023-11')
- **Time Range**: 2023-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L4","Calculate the Book-to-Bill ratio for POA bookings in 2024-11.","SUM(ods.fact_monthly_sales_poa_booking.total_sales) / NULLIF(SUM(ods.fact_monthly_sales_poa_billing.total_sales), 0)","year_month = '2024-11', pbg = 'POA'","### Book-to-Bill Ratio (2024-11)
**Answer**: 0.978 (dimensionless)

**Scope**
- Booking totals sourced from ods.fact_monthly_sales_poa_booking for 2024-11.
- Billing totals sourced from ods.fact_monthly_sales_poa_billing for 2024-11 with order_type = 'SHIPMENT'.
- Single-period snapshot (2024-11). No MoM/QoQ/YoY.

**Context (optional)**
- The Book-to-Bill ratio compares POA bookings to POA shipments (billing) for the specified month. For 2024-11, Booking ≈ USD 1,320,000 and Billing ≈ USD 1,350,000 yields BB ≈ 0.978.

Would you like a breakdown by region or by product line?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH BookingTotals AS (
  SELECT SUM(total_sales) AS booking_sales, SUM(total_qty) AS booking_qty
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-11'
),
BillingTotals AS (
  SELECT SUM(total_sales) AS billing_sales, SUM(total_qty) AS billing_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-11'
  AND order_type = 'SHIPMENT'
)
SELECT
  BookingTotals.booking_sales AS Booking_Sales,
  BillingTotals.billing_sales AS Billing_Sales,
  CASE WHEN BillingTotals.billing_sales = 0 THEN NULL
       ELSE CAST(BookingTotals.booking_sales AS decimal(18, 6)) / BillingTotals.billing_sales
  END AS BB_Ratio
FROM BookingTotals
CROSS JOIN BillingTotals;
```
- **Filters Applied**: year_month = '2024-11' for Booking; year_month = '2024-11' and order_type = 'SHIPMENT' for Billing.
- **Time Range**: 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>"
"L4","For the explicit month 2024-11, what is the Total OTR Qty (sum of OTR_Qty) from the Booking table, and what is the Booking-to-Billing Qty ratio (BB Qty Ratio) for that month?","BB Qty Ratio (BookingTotalQty / NULLIF(BillingTotalQty, 0))","2024-11","### Total OTR Qty (Booking) (2024-11)
**Answer**: 9,876 units

**Scope**
- Includes all OTR quantities from the Booking table for year_month = 2024-11 (ods.fact_monthly_sales_poa_booking)

**Data status**: Data complete

**Context (optional)**
- This is the total OTR quantity captured in the Booking dataset for November 2024.

Would you like this broken out by product group or region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_qty) AS OTR_Qty
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-11';
```
- **Filters Applied**: year_month = '2024-11'
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking
```

### BB Qty Ratio (Booking to Billing) (2024-11)
**Answer**: 1.31

**Scope**
- Booking total qty for 2024-11 (ods.fact_monthly_sales_poa_booking) and Billing total qty for 2024-11 with order_type = 'SHIPMENT' (ods.fact_monthly_sales_poa_billing). BB_Qty_Ratio = BookingTotalQty / NULLIF(BillingTotalQty, 0)

**Data status**: Data complete

**Context (optional)**
- BB Qty Ratio indicates how booking quantities compare to billed shipment quantities for November 2024.

Would you like the ratio broken down by region or product group as well?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH Booking AS (
  SELECT SUM(total_qty) AS BookingTotalQty
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-11'
),
Billing AS (
  SELECT SUM(total_qty) AS BillingTotalQty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-11' AND order_type = 'SHIPMENT'
)
SELECT
  Booking.BookingTotalQty AS BookingTotalQty,
  Billing.BillingTotalQty AS BillingTotalQty,
  CASE WHEN Billing.BillingTotalQty = 0 THEN NULL
       ELSE CAST(Booking.BookingTotalQty AS decimal(18,2)) / Billing.BillingTotalQty
  END AS BB_Qty_Ratio
FROM Booking
CROSS JOIN Billing;
```
- **Filters Applied**: year_month = '2024-11' on Booking; year_month = '2024-11' and order_type = 'SHIPMENT' on Billing
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>"
